ID,age_m,gender,hand,Raven,RuTOPP_3_NWR,Rythms_repeat,Rythms_instr
T08,76,f,правша,12,0.83,0.85,1
A03,76,f,правша,19,0.91,0.95,1
T09,76,m,левша,19,0.75,0.9,1
A08,76,m,амб,21,0.83,0.9,1
A13,77,f,правша,20,0.95,1,1
A14,77,f,левша,19,0.75,0.7,1
T14,78,m,правша,17,0.75,0.95,1
A16,78,f,правша,30,0.75,0.9,0.85
T06,80,m,правша,26,0.91,0.9,1
A10,80,m,правша,32,0.87,1,1
A17 ,80,m,амб,21,0.83,0.95,1
T10,81,m,правша,27,0.91,0.575,0.7
A02,83,m,правша,24,0.79,0.9,0.7
T05,83,m,правша ,30,0.66,1,1
A15,83,f,правша,32,0.87,1,1
